Minutes5UTC,Minutes5DK,PriceArea,ProductionLt100MW,ProductionGe100MW,OffshoreWindPower,OnshoreWindPower,SolarPower,ExchangeGreatBelt,ExchangeGermany,ExchangeNetherlands,ExchangeNorway,ExchangeSweden,BornholmSE4
2023-06-09T06:35:00,2023-06-09T08:35:00,DK1,245.119995,253.899994,292.440002,171.940002,527.52002,449.519989,-902.75,103.93,802.659973,715.0,
2023-06-09T06:35:00,2023-06-09T08:35:00,DK2,87.870003,237.860001,592.929993,81.010002,246.660004,-449.519989,-152.240005,,,750.98999,-4.94
2023-06-09T06:30:00,2023-06-09T08:30:00,DK1,246.279999,237.5,306.320007,170.720001,517.330017,455.709991,-913.890015,103.93,802.349976,714.0,
2023-06-09T06:30:00,2023-06-09T08:30:00,DK2,87.650002,239.619995,590.900024,83.129997,235.240005,-455.709991,-146.800003,,,762.26001,-4.6
2023-06-09T06:25:00,2023-06-09T08:25:00,DK1,244.830002,267.420013,313.559998,179.279999,500.079987,599.650024,-1065.329956,103.93,802.210022,714.0,
2023-06-09T06:25:00,2023-06-09T08:25:00,DK2,87.639999,241.490005,593.940002,83.199997,230.830002,-599.650024,-149.039993,,,886.960022,-6.0
2023-06-09T06:20:00,2023-06-09T08:20:00,DK1,246.919998,249.289993,315.98999,171.899994,479.559998,599.650024,-1009.280029,103.93,802.200012,715.0,
2023-06-09T06:20:00,2023-06-09T08:20:00,DK2,87.25,240.990005,594.0,84.669998,227.649994,-599.650024,-142.259995,,,910.669983,-2.48
2023-06-09T06:15:00,2023-06-09T08:15:00,DK1,244.309998,241.059998,320.320007,157.649994,455.929993,599.650024,-976.830017,103.93,802.330017,715.0,
2023-06-09T06:15:00,2023-06-09T08:15:00,DK2,86.459999,241.130005,592.099976,79.639999,204.75,-599.650024,-141.190002,,,917.320007,-2.45
2023-06-09T06:10:00,2023-06-09T08:10:00,DK1,241.779999,285.630005,309.070007,158.649994,423.070007,566.349976,-949.340027,103.93,802.47998,715.0,
2023-06-09T06:10:00,2023-06-09T08:10:00,DK2,88.169998,243.029999,594.76001,87.730003,205.830002,-566.349976,-143.699997,,,872.559998,-3.27
2023-06-09T06:05:00,2023-06-09T08:05:00,DK1,242.029999,247.25,311.119995,154.789993,402.799988,532.820007,-882.090027,105.25,802.150024,715.0,
2023-06-09T06:05:00,2023-06-09T08:05:00,DK2,88.839996,240.970001,604.150024,80.129997,188.649994,-532.820007,-139.869995,,,844.630005,-0.26
2023-06-09T06:00:00,2023-06-09T08:00:00,DK1,239.899994,198.029999,312.859985,159.399994,384.890015,524.830017,-1130.160034,400.700012,802.140015,715.0,
2023-06-09T06:00:00,2023-06-09T08:00:00,DK2,88.379997,240.970001,601.380005,81.029999,199.279999,-524.830017,-141.020004,,,831.390015,-4.36
2023-06-09T05:55:00,2023-06-09T07:55:00,DK1,239.789993,203.460007,308.200012,142.440002,359.589996,491.640015,-1318.619995,673.27002,802.419983,715.0,
2023-06-09T05:55:00,2023-06-09T07:55:00,DK2,93.099998,246.419998,613.609985,73.25,186.089996,-491.640015,-133.100006,,,800.840027,-0.98
2023-06-09T05:50:00,2023-06-09T07:50:00,DK1,242.130005,222.550003,308.209991,132.770004,343.380005,458.200012,-1305.420044,673.27002,802.23999,715.0,
2023-06-09T05:50:00,2023-06-09T07:50:00,DK2,98.309998,246.419998,614.429993,71.150002,185.600006,-458.200012,-140.460007,,,752.609985,-1.63
2023-06-09T05:45:00,2023-06-09T07:45:00,DK1,241.720001,255.979996,303.25,127.790001,329.100006,424.73999,-1279.75,673.27002,802.25,715.0,
2023-06-09T05:45:00,2023-06-09T07:45:00,DK2,100.529999,248.699997,605.109985,66.599998,173.330002,-424.73999,-143.419998,,,744.099976,-3.54
2023-06-09T05:40:00,2023-06-09T07:40:00,DK1,242.690002,255.330002,304.220001,128.479996,304.579987,400.100006,-1243.619995,673.27002,802.380005,715.0,
2023-06-09T05:40:00,2023-06-09T07:40:00,DK2,103.370003,248.699997,601.23999,68.269997,172.509995,-400.100006,-149.949997,,,729.200012,-2.28
2023-06-09T05:35:00,2023-06-09T07:35:00,DK1,243.199997,237.289993,295.709991,122.669998,286.73999,400.100006,-1187.209961,673.27002,802.039978,715.0,
2023-06-09T05:35:00,2023-06-09T07:35:00,DK2,106.410004,248.699997,605.549988,63.259998,162.669998,-400.100006,-153.830002,,,750.099976,-1.93
2023-06-09T05:30:00,2023-06-09T07:30:00,DK1,237.009995,230.259995,304.230011,125.25,275.73999,400.100006,-1192.609985,673.27002,802.369995,715.0,
2023-06-09T05:30:00,2023-06-09T07:30:00,DK2,106.82,248.699997,586.690002,66.580002,153.229996,-400.100006,-152.860001,,,757.109985,-0.98
2023-06-09T05:25:00,2023-06-09T07:25:00,DK1,240.270004,247.050003,301.670013,114.089996,259.339996,400.100006,-1220.609985,673.150024,802.330017,714.0,
2023-06-09T05:25:00,2023-06-09T07:25:00,DK2,106.660004,248.699997,573.76001,71.120003,144.729996,-400.100006,-155.130005,,,786.650024,-1.86
2023-06-09T05:20:00,2023-06-09T07:20:00,DK1,242.119995,260.51001,313.459991,121.209999,238.479996,396.799988,-1234.910034,673.150024,802.099976,714.0,
2023-06-09T05:20:00,2023-06-09T07:20:00,DK2,104.169998,248.699997,569.299988,69.75,132.360001,-396.799988,-155.5,,,755.080017,-2.75
2023-06-09T05:15:00,2023-06-09T07:15:00,DK1,244.039993,241.25,313.679993,122.059998,222.770004,299.26001,-1131.27002,673.150024,802.380005,715.0,
2023-06-09T05:15:00,2023-06-09T07:15:00,DK2,101.980003,248.699997,558.190002,68.949997,126.589996,-299.26001,-158.210007,,,695.789978,-2.55
2023-06-09T05:10:00,2023-06-09T07:10:00,DK1,241.149994,235.369995,322.76001,120.650002,205.5,279.26001,-1133.51001,673.150024,801.98999,715.0,
2023-06-09T05:10:00,2023-06-09T07:10:00,DK2,102.660004,250.470001,534.830017,71.660004,124.309998,-279.26001,-153.630005,,,686.960022,-2.99
2023-06-09T05:05:00,2023-06-09T07:05:00,DK1,239.839996,231.460007,316.859985,125.050003,191.050003,255.369995,-1114.589966,673.150024,802.400024,715.0,
2023-06-09T05:05:00,2023-06-09T07:05:00,DK2,104.639999,248.619995,535.440002,70.919998,120.169998,-255.369995,-161.509995,,,626.76001,-2.55
2023-06-09T05:00:00,2023-06-09T07:00:00,DK1,239.070007,220.25,322.859985,121.099998,183.440002,232.699997,-1112.699951,687.090027,802.200012,714.0,
2023-06-09T05:00:00,2023-06-09T07:00:00,DK2,104.620003,245.080002,529.840027,67.040001,113.440002,-232.699997,-169.130005,,,630.140015,-3.16
2023-06-09T04:55:00,2023-06-09T06:55:00,DK1,235.679993,227.660004,320.049988,127.010002,175.520004,212.270004,-1148.369995,700.690002,802.52002,715.0,
2023-06-09T04:55:00,2023-06-09T06:55:00,DK2,104.940002,243.259995,534.76001,65.870003,106.379997,-212.270004,-180.369995,,,607.880005,-2.75
2023-06-09T04:50:00,2023-06-09T06:50:00,DK1,239.589996,228.039993,307.73999,126.620003,162.460007,186.850006,-1133.280029,699.869995,802.289978,714.0,
2023-06-09T04:50:00,2023-06-09T06:50:00,DK2,105.309998,238.970001,525.789978,70.559998,103.849998,-186.850006,-201.639999,,,598.059998,-3.33
2023-06-09T04:45:00,2023-06-09T06:45:00,DK1,238.369995,216.360001,301.920013,127.190002,154.759995,168.089996,-1099.48999,699.869995,802.200012,714.0,
2023-06-09T04:45:00,2023-06-09T06:45:00,DK2,102.379997,240.820007,484.630005,71.07,101.809998,-168.089996,-205.419998,,,621.960022,-2.99
2023-06-09T04:40:00,2023-06-09T06:40:00,DK1,237.570007,203.729996,294.26001,117.050003,145.309998,168.089996,-1078.869995,699.869995,802.330017,714.0,
2023-06-09T04:40:00,2023-06-09T06:40:00,DK2,104.480003,240.740005,482.880005,70.860001,90.089996,-168.089996,-206.440002,,,613.369995,-2.21
2023-06-09T04:35:00,2023-06-09T06:35:00,DK1,238.059998,202.119995,297.119995,114.959999,136.350006,168.089996,-1097.599976,699.869995,802.23999,714.0,
